active_debris_updated,,,,,,,,,,,,,,,,,,,,,,,,
INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER,satname
1996-029P,31703,DEBRIS,USA 123 DEB,US,1996-05-12,AFWTR,,,,,,NO LONGER ON ORBIT,,0,,2454,1996,29,P,Y,USA 123 DEB,1996-029P,31703,
1975-118D,8517,DEBRIS,OPS 3165 DEB,US,1975-12-14,AFETR,,,,,,NO ELEMENTS AVAILABLE,,0,,5799,1975,118,D,Y,OPS 3165 DEB,1975-118D,8517,
1977-112H,12859,DEBRIS,OPS 8781 DEB,US,1977-12-08,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,5799,1977,112,H,Y,OPS 8781 DEB,1977-112H,12859,
1982-006D,13104,DEBRIS,OPS 2849 DEB,US,1982-01-21,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,5799,1982,6,D,Y,OPS 2849 DEB,1982-006D,13104,
1982-006E,13105,DEBRIS,OPS 2849 DEB,US,1982-01-21,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,5799,1982,6,E,Y,OPS 2849 DEB,1982-006E,13105,
1982-006F,13152,DEBRIS,OPS 2849 DEB,US,1982-01-21,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,5799,1982,6,F,Y,OPS 2849 DEB,1982-006F,13152,
1983-008D,13835,DEBRIS,OPS 0252 DEB,US,1983-02-09,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,5799,1983,8,D,Y,OPS 0252 DEB,1983-008D,13835,
1983-008G,13849,DEBRIS,OPS 0252 DEB,US,1983-02-09,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,5799,1983,8,G,Y,OPS 0252 DEB,1983-008G,13849,
1983-056E,14145,DEBRIS,OPS 6432 DEB,US,1983-06-09,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,5799,1983,56,E,Y,OPS 6432 DEB,1983-056E,14145,
1983-056F,14146,DEBRIS,OPS 6432 DEB,US,1983-06-09,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,5799,1983,56,F,Y,OPS 6432 DEB,1983-056F,14146,
1983-056H,14181,DEBRIS,OPS 6432 DEB,US,1983-06-09,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,5799,1983,56,H,Y,OPS 6432 DEB,1983-056H,14181,
1992-086D,24865,DEBRIS,USA 89 R/B DEB,US,1992-12-02,AFETR,,,,,,NO LONGER ON ORBIT,,0,,5799,1992,86,D,Y,USA 89 R/B DEB,1992-086D,24865,
1992-086E,24867,DEBRIS,USA 89 R/B DEB,US,1992-12-02,AFETR,,,,,,NO LONGER ON ORBIT,,0,,5799,1992,86,E,Y,USA 89 R/B DEB,1992-086E,24867,
1992-086F,25608,DEBRIS,USA 89 R/B DEB,US,1992-12-02,AFETR,,,,,,NO LONGER ON ORBIT,,0,,5799,1992,86,F,Y,USA 89 R/B DEB,1992-086F,25608,
1992-086G,28530,DEBRIS,USA 89 R/B DEB,US,1992-12-02,AFETR,,,,,,NO LONGER ON ORBIT,,0,,5799,1992,86,G,Y,USA 89 R/B DEB,1992-086G,28530,
1992-086H,28531,DEBRIS,USA 89 R/B DEB,US,1992-12-02,AFETR,,,,,,NO LONGER ON ORBIT,,0,,5799,1992,86,H,Y,USA 89 R/B DEB,1992-086H,28531,
1992-086J,28532,DEBRIS,USA 89 R/B DEB,US,1992-12-02,AFETR,,,,,,NO LONGER ON ORBIT,,0,,5799,1992,86,J,Y,USA 89 R/B DEB,1992-086J,28532,
1992-086L,28534,DEBRIS,USA 89 R/B DEB,US,1992-12-02,AFETR,,,,,,NO LONGER ON ORBIT,,0,,5799,1992,86,L,Y,USA 89 R/B DEB,1992-086L,28534,
1992-086P,28648,DEBRIS,USA 89 R/B DEB,US,1992-12-02,AFETR,,,,,,NO LONGER ON ORBIT,,0,,5799,1992,86,P,Y,USA 89 R/B DEB,1992-086P,28648,
1992-086Q,31705,DEBRIS,USA 89 R/B DEB,US,1992-12-02,AFETR,,,,,,NO LONGER ON ORBIT,,0,,5799,1992,86,Q,Y,USA 89 R/B DEB,1992-086Q,31705,
2009-020E,34838,DEBRIS,BLOCK DM-SL DEB,SEAL,2009-04-20,SEAL,,793.73,0.06,35410.0,8628.0,,3.0,0,,5799,2009,20,E,Y,BLOCK DM-SL DEB,2009-020E,34838,
